name,size,price,currency
Cardinal,3dl,4.00,EUR
Cardinal,50DL,6.00,EUR
Captain Mouss (artisanale) LAGER,3dl,4.50,EUR
Captain Mouss (artisanale) LAGER,5dl,6.50,EUR
Pornstar IPA,3dl,5.50,EUR
Pornstar IPA,5dl,7.50,EUR
Schneider WEISSE,3dl,4.50,EUR
Schneider WEISSE,5dl,6.50,EUR
Captain Mouss (artisanale) IPA et SESSION IPA,,7.50,EUR
Captain Mouss (artisanale) ROUSSE,,7.00,EUR
Captain Mouss (artisanale) STOUT,,7.00,EUR
Brooklin IPA,,7.50,EUR
Red Bull,,5.00,EUR
Grog,,9.00,EUR
Irish Coffee,,9.00,EUR
Vin Chaud,,5.00,EUR
Génép' à Roger,,5.00,EUR
Abricotine,,5.00,EUR
Williamine,,5.00,EUR
Blue Amaretto,,5.00,EUR
Blow job,,5.00,EUR
Orgasme,,5.00,EUR
Cucaratcha,,5.00,EUR
Lemon Drop,,5.00,EUR
Tarte aux pommes,,5.00,EUR
Madeleine,,5.00,EUR
Cramberry cookie,,5.00,EUR
Absinthe,,7.00,EUR
Campari,,5.00,EUR
Martini,,5.00,EUR
Pastis 2cl,2cl,3.50,EUR
Porto rouge,,5.00,EUR
Magners,,5.00,EUR
Möhl 4/5 sec,,6.00,EUR
Eve litchi,,5.00,EUR
Gin 27,4cl,10.00,EUR
Hendrick's,4cl,10.00,EUR
Don Papa,4cl,10.00,EUR
Santa Theresa,4cl,10.00,EUR
Glenmorangie,4cl,10.00,EUR
Laphroaig,4cl,10.00,EUR
Jack Daniel's,4cl,6.00,EUR
Chartreuse,,6.00,EUR
Eau de vie de Génépi,,5.00,EUR
Limoncello,,5.00,EUR
Calvados,,7.00,EUR
Cognac,,8.00,EUR
Gentiane,,5.00,EUR
Pomme,,5.00,EUR
