name,size,price,currency
Mützig,25cl,4.20,EUR
Mützig,50cl,8.20,EUR
Mützig,140cl,23.00,EUR
Cider,33cl,6.00,EUR
Corona,33cl,6.00,EUR
White beer,25cl,4.50,EUR
IPA,25cl,6.00,EUR
Heineken,25cl,4.00,EUR
Non-alcoholic beer,25cl,4.50,EUR
Gluten-free beer,25cl,4.50,EUR
Gin,3cl,6.00,EUR
Spiced Rhum,3cl,6.00,EUR
Vodka,3cl,6.00,EUR
Bailey's,4cl,6.00,EUR
Whisky,3cl,6.00,EUR
Malibu,4cl,6.00,EUR
Rhum,3cl,6.00,EUR
Get 27,4cl,6.00,EUR
Apérol Spritz,,9.00,EUR
Hugo Spritz,,9.00,EUR
Mojito,,9.00,EUR
Espresso Martini,,9.00,EUR
Gin Tonic,,8.00,EUR
House cocktail,,8.00,EUR
Sambuca,2cl,4.00,EUR
Génépy,2cl,4.00,EUR
Tequila,2cl,4.00,EUR
Limon cello,2cl,4.00,EUR
Orgasm,2cl,4.00,EUR
B52,3cl,6.00,EUR
House schnaps,2cl,3.00,EUR
Glass of wine,12.5cl,4.50,EUR
Kir maison,10cl,5.00,EUR
Glass of sparkling wine,10cl,5.00,EUR
Ricard,2cl,3.50,EUR
Wine bottle,75cl,22.00,EUR
Martini,4cl,3.50,EUR
Sparkling wine bottle,75cl,30.00,EUR
Suze,4cl,3.50,EUR
Champagne bottle,75cl,60.00,EUR
Porto,4cl,4.50,EUR
Pineapple Sunset,50cl,8.00,EUR
Strawberry Fantasy,50cl,8.00,EUR
Irish Coffee,,8.50,EUR
Rhum chocolate,,9.00,EUR
Coffee Bailey's / Chocolate Bailey's,,9.00,EUR
Vin chaud,,4.50,EUR
