name,size,price,currency
Peroni,25cl,4.00,EUR
Peroni,50cl,7.50,EUR
Mont-Blanc IPA,25cl,5.00,EUR
Mont-Blanc IPA,50cl,9.00,EUR
London Pale Ale,25cl,5.00,EUR
London Pale Ale,50cl,9.00,EUR
Hoegaarden,25cl,5.00,EUR
Hoegaarden,50cl,9.00,EUR
Guinness,25cl,5.00,EUR
Guinness,50cl,9.00,EUR
Guinness Hop House 13,25cl,5.00,EUR
Guinness Hop House 13,50cl,9.00,EUR
St Stefanus,25cl,5.00,EUR
St Stefanus,50cl,9.00,EUR
Grolsh,25cl,4.00,EUR
Grolsh,50cl,7.00,EUR
Panaché ou Monaco,25cl,3.50,EUR
Panaché ou Monaco,50cl,7.00,EUR
Picon B Picon Bière,25cl,5.00,EUR
Picon B Picon Bière,50cl,9.00,EUR
Mont-Blanc Bleue,25cl,5.00,EUR
Mont-Blanc Bleue,50cl,9.00,EUR
Cidre Pression Magners,25cl,4.50,EUR
Cidre Pression Magners,50cl,9.00,EUR
Molson,33cl,7.00,EUR
Mooshead,33cl,7.00,EUR
La Maudite,34cl,9.00,EUR
Fin Du Monde,34cl,9.00,EUR
St Ambroise à l'Érable,34cl,9.00,EUR
St Ambroise à l'Abricot,34cl,9.00,EUR
La Blanche Cheval Blanc,34cl,9.00,EUR
San Miguel,33cl,7.00,EUR
Paix Dieu,33cl,8.50,EUR
Mort Subite Kriek Cerise,25cl,7.50,EUR
Duvel,33cl,8.00,EUR
Delirium Tremens,33cl,8.00,EUR
Kwak,33cl,8.00,EUR
Mont-Blanc Rousse,33cl,7.50,EUR
Chouffe,33cl,8.00,EUR
Tripel Karmeliet,33cl,8.00,EUR
Budweiser,33cl,7.00,EUR
Corona,33cl,7.50,EUR
Desperados,33cl,7.50,EUR
Virgin Desperados,33cl,7.00,EUR
Corona Zero,33cl,7.00,EUR
Heineken Zero,33cl,7.00,EUR
Guinness 0.0,50cl,9.00,EUR
IGP Uby - Domaine Colombard,Verre,4.50,EUR
IGP Uby - Domaine Colombard,75cl,22.00,EUR
IGP Chardonnay - Les Jamelles,75cl,28.00,EUR
AOP Apremont - Entre Lac et Sommets,75cl,27.00,EUR
IGP Gourmandise Mediterrannée,Verre,4.50,EUR
IGP Gourmandise Mediterrannée,75cl,22.00,EUR
Whispering Angel,Verre,6.00,EUR
Whispering Angel,75cl,40.00,EUR
Rock Angel,75cl,55.00,EUR
AOP Côtes du Rhône - Domaine Dionysos,Verre,4.50,EUR
AOP Côtes du Rhône - Domaine Dionysos,75cl,22.00,EUR
AOP Vacqueyras - Château de Haute Ribes,75cl,28.00,EUR
IGP Pinot Noir - Les Jamelles,Verre,4.50,EUR
IGP Pinot Noir - Les Jamelles,75cl,22.00,EUR
AOP Côteaux Bourguignon - Cuvée Caprice,Verre,4.50,EUR
AOP Côteaux Bourguignon - Cuvée Caprice,75cl,22.00,EUR
AOC Saint-Émilion - Château Chapelle La Rose Lussac,Verre,5.50,EUR
AOC Saint-Émilion - Château Chapelle La Rose Lussac,75cl,28.00,EUR
Argentine - 1492 Don Cristobal,75cl,25.00,EUR
Espagne - Rioja Campo Viejo,75cl,28.00,EUR
Kir,,4.00,EUR
Kir Prosecco,,7.00,EUR
Kir Royal,,10.00,EUR
Coupe de Prosecco,,6.50,EUR
Coupe de Champagne,,9.50,EUR
Porto,,4.00,EUR
Campari,,4.00,EUR
Lillet Rosé,,4.00,EUR
Martini (Blanc ou Rouge),,5.00,EUR
Suze,,5.00,EUR
Ricard,4cl,5.00,EUR
Casanis,4cl,5.00,EUR
Pastis,4cl,5.00,EUR
Martini Gin,,8.00,EUR
Americano Maison,,7.50,EUR
Negroni,,9.00,EUR
Apérol Spritz,,9.00,EUR
Limoncello Spritz,,9.00,EUR
Campari Spritz,,9.00,EUR
Hugo Spritz,,11.00,EUR
Moscow Mule,,12.00,EUR
