name,size,price,currency
Blonde//Lager,25cl,3.50,EUR
Blonde//Lager,33cl,4.60,EUR
Blonde//Lager,50cl,6.50,EUR
Blonde//Lager,100cl,13.00,EUR
Blonde//Lager,pichet 150cl,20.00,EUR
Vedett,25cl,3.80,EUR
Vedett,33cl,5.00,EUR
Vedett,50cl,7.50,EUR
Vedett,100cl,15.00,EUR
Vedett,Pichet 150cl,21.00,EUR
Estrella Galicia,25cl,3.80,EUR
Estrella Galicia,33cl,5.00,EUR
Estrella Galicia,50cl,7.50,EUR
Estrella Galicia,100cl,15.00,EUR
Estrella Galicia,Pichet 150cl,21.00,EUR
Bières du Moment,25cl,3.80,EUR
Bières du Moment,33cl,5.00,EUR
Bières du Moment,50cl,7.50,EUR
Bières du Moment,100cl,15.00,EUR
Bières du Moment,Pichet 150cl,21.00,EUR
Sapaudia La Batarde/The Mongrel,25cl,3.80,EUR
Sapaudia La Batarde/The Mongrel,33cl,5.00,EUR
Sapaudia La Batarde/The Mongrel,50cl,7.50,EUR
Sapaudia La Batarde/The Mongrel,100cl,15.00,EUR
Sapaudia La Batarde/The Mongrel,Pichet 150cl,21.00,EUR
Sapaudia Lost In The Woods,25cl,3.80,EUR
Sapaudia Lost In The Woods,33cl,5.00,EUR
Sapaudia Lost In The Woods,50cl,7.50,EUR
Sapaudia Lost In The Woods,100cl,15.00,EUR
Sapaudia Lost In The Woods,Pichet 150cl,21.00,EUR
Galibier,25cl,3.80,EUR
Galibier,33cl,5.00,EUR
Galibier,50cl,7.50,EUR
Galibier,100cl,15.00,EUR
Galibier,Pichet 150cl,21.00,EUR
Corona,33CL,6.00,EUR
Lost In The Woods IPA,44CL,6.00,EUR
Brasserie Tyris Blonde ou Brune,33CL,6.00,EUR
Brasserie Cusquena Blonde,33CL,6.00,EUR
VB Beers,33CL,7.00,EUR
Cooper's Pale Ale ou Sparkling Ale,33CL,7.00,EUR
Guiness,50CL,7.00,EUR
Magners Irish Cider,56.7CL,7.00,EUR
Bières du Moment (Bouteille),,6.00,EUR
Estrella Galicia 00%,33CL,4.50,EUR
Chevalier D'Anthelme,,4.00,EUR
La Galope Malbec,,4.00,EUR
Festivo Malbec,,5.00,EUR
Dogajolo Rosso Carpineto,,5.00,EUR
Vina Pomal Crianza,,5.00,EUR
Vina Berneo Seleccion Crianza,,5.00,EUR
Blue,,4.00,EUR
Viognier,,4.00,EUR
Albarino // Laurent Miquel,,5.00,EUR
Tokaji (Sec ou Moelleux),,5.00,EUR
Albarino // Terra de Asorei,,5.00,EUR
Pamploon,,4.00,EUR
Prosecco Volmen,,5.50,EUR
Champagne Levasseur,,9.00,EUR
Ricard,,4.00,EUR
Suze,,4.00,EUR
Martini,,4.00,EUR
Kir,,4.50,EUR
Negroni,,8.00,EUR
Kir Pétillant Prosecco,,6.00,EUR
