name,size,price,currency
Heineken / eichhof,3.3dl,6.00,CHF
Heineken / eichhof,5dl,9.00,CHF
Brewdog Punk IPA & Edinger,3.3dl,7.00,CHF
Brewdog Punk IPA & Edinger,5dl,10.00,CHF
7 Peakes,3.3dl,7.00,CHF
7 Peakes,5dl,10.00,CHF
7 Peakes,33cl,7.50,CHF
Desperados,33cl,6.50,CHF
Heineken sans alcool,33cl,6.50,CHF
Moretti,33cl,6.50,CHF
Blanc - Provence,1dl,5.00,CHF
Blanc - Provence,5dl,19.00,CHF
Blanc - Provence,7.5dl,29.00,CHF
Blanc Fendant - Valais,1dl,6.00,CHF
Blanc Fendant - Valais,5dl,25.00,CHF
Blanc Fendant - Valais,7.5dl,35.00,CHF
Champagne,7.5dl,64.00,CHF
Prosecco,1dl,7.00,CHF
Prosecco,7.5dl,39.00,CHF
Rosé - Provence,1dl,5.00,CHF
Rosé - Provence,5dl,19.00,CHF
Rosé - Provence,7.5dl,29.00,CHF
Rosé - Provence,15dl,50.00,CHF
Rouge - Valais,1dl,6.00,CHF
Rouge - Valais,5dl,25.00,CHF
Rouge - Valais,7.5dl,35.00,CHF
Aperol Spritz,,10.00,CHF
Digestifs,2.5cl,5.00,CHF
Digestifs Premium,2.5cl,6.00,CHF
Gin & Tonic,,11.00,CHF
Vin Chaud,,5.50,CHF
