name,size,price,currency
Bud,25CL,8.50,EUR
Bud,40CL,11.00,EUR
Corona,25CL,9.50,EUR
Corona,40CL,12.00,EUR
Leffe,25CL,12.00,EUR
Leffe,40CL,14.50,EUR
Hoegaarden,25CL,11.50,EUR
Hoegaarden,40CL,13.50,EUR
Corona,33CL,13.00,EUR
Carlsberg,33CL,13.00,EUR
FLYING FISH,33CL,13.00,EUR
SMIRNOFF ICE,27.5CL,13.00,EUR
Corona alcohol-free Cero,33CL,13.00,EUR
ROSÉ - FOLIE DOUCE,75CL,50.00,EUR
ROSÉ - FOLIE DOUCE,1.5L,110.00,EUR
ROSÉ - FOLIE DOUCE,3L,240.00,EUR
ROSÉ - FOLIE DOUCE,6L,600.00,EUR
ROSÉ - FOLIE DOUCE,15L,1500.00,EUR
BLANC - MINUTY PRESTIGE,75CL,60.00,EUR
BLANC - MINUTY PRESTIGE,1.5L,130.00,EUR
MUMM Cordon Rouge,75CL,130.00,EUR
MUMM Cordon Rouge,1.5L,270.00,EUR
MUMM Cordon Rouge,3L,560.00,EUR
MUMM Cordon Rouge,6L,1600.00,EUR
MUMM Rosé,75CL,160.00,EUR
MUMM RSRV Blanc de blancs,75CL,190.00,EUR
APPie Dry,33CL,13.00,EUR
MAGNERS Sweet,33CL,13.00,EUR
"Soda fontaine (Coca Cola, Coca Cola sans sucres, Sprite, Fanta, Fuzetea, Finley Tonic)",40CL,7.50,EUR
Redbull,25CL,8.50,EUR
"Badoit, Evian",50CL,6.00,EUR
ST-GERMAIN SPRITZ,16CL,14.50,EUR
Espresso,,3.50,EUR
Americano,,3.50,EUR
Chocolat chaud,,8.00,EUR
Cappucino,,8.00,EUR
Latte,,8.00,EUR
Thés,,7.00,EUR
Vin chaud,,6.50,EUR
