name,size,price,currency
Ricard,,4.00,EUR
Campari,,6.00,EUR
Suze,,6.00,EUR
Martini Rouge,,6.00,EUR
Américano,,8.50,EUR
Kir,,4.00,EUR
Ti-punch,,7.00,EUR
IGP Côtes de Gascogne,,5.00,EUR
IGP Pays d'Oc,,5.50,EUR
AOP Roussette,,6.00,EUR
IGP Pays d'Hérault,,5.00,EUR
AOP Côte du Rhône,,6.00,EUR
AOC Coteaux Bourguignon,,6.00,EUR
IGP Pays d'Hérault,,5.00,EUR
Prosecco,,7.00,EUR
Prosecco,,45.00,EUR
Nicolas Feuillatte,,9.00,EUR
Nicolas Feuillatte,,50.00,EUR
Veuve Clicquot,,90.00,EUR
Louis Constant,,10.00,EUR
Vin chaud maison,,4.80,EUR
Sangria maison,,6.00,EUR
Apérol Spritz,,9.50,EUR
Alsace Sprit,,11.00,EUR
EAU Purezza,35CL,3.00,EUR
EAU Purezza,75CL,5.00,EUR
Sirop à l'eau,35CL,3.50,EUR
Jus de fruits Minute Maid,25CL,4.40,EUR
Orange pressée,,5.50,EUR
Coca-Cola,33CL,4.90,EUR
Zéro,33CL,4.90,EUR
Fuze tea,25CL,4.60,EUR
Schweppes,25CL,4.60,EUR
Fanta,25CL,4.60,EUR
Sprite,25CL,4.60,EUR
Oasis,25CL,4.60,EUR
Montblanc Alpi limonade,33CL,4.90,EUR
Diabolo,33CL,4.90,EUR
Sup Sirop,,0.50,EUR
Heineken,25CL,4.30,EUR
Heineken,50CL,8.50,EUR
Affligem blanche,25CL,4.80,EUR
Affligem blanche,50CL,9.50,EUR
Affligem rouge,25CL,4.80,EUR
Affligem rouge,50CL,9.50,EUR
Affligem du moment,25CL,4.80,EUR
Affligem du moment,50CL,9.50,EUR
Pression gingembre,25CL,4.80,EUR
Pression gingembre,50CL,9.50,EUR
IPA Lagunitas,25CL,5.00,EUR
IPA Lagunitas,50CL,9.50,EUR
Cervoise,25CL,5.00,EUR
Cervoise,50CL,10.00,EUR
Picon bière,25CL,5.00,EUR
Picon bière,50CL,10.00,EUR
La Mordue,25CL,5.00,EUR
La Mordue,50CL,10.00,EUR
Heineken 0.0,33CL,7.00,EUR
Virgin Desperados,33CL,7.00,EUR
Desperados,33CL,7.00,EUR
Corona,33CL,7.00,EUR
Duvel,33CL,8.00,EUR
La Chouffe,33CL,8.00,EUR
La Mont'z Ibex,33CL,8.00,EUR
Guinness,50CL,9.00,EUR
Cidre Magners,56CL,9.50,EUR
Sex on the snow,,10.00,EUR
Cuba Libre,,10.00,EUR
Piña Colada,,10.00,EUR
Caïpirinha,,10.00,EUR
Daiquiri,,10.00,EUR
Hugo Spritz,,11.00,EUR
Porn Star Martini,,11.00,EUR
Nos Mojitos,,10.00,EUR
Nos Mules,,11.00,EUR
