name,size,price,currency
Demi Peroni,25CL,5.00,EUR
Pinte Peroni,50CL,9.00,EUR
Pichet Peroni,150CL,25.00,EUR
Desperados,33CL,8.00,EUR
Corona,33CL,8.00,EUR
Rocket Fuel Neipa,33CL,9.00,EUR
Alpina Blanche,33CL,9.00,EUR
Back Country Wipa,33CL,9.00,EUR
Mont'z Ambrée,33CL,9.00,EUR
La Mordue Hard Cider,33CL,8.00,EUR
Peroni 0.0,33CL,7.00,EUR
Prosecco Riccadonna,12CL,7.00,EUR
Prosecco Riccadonna,75CL,35.00,EUR
Vranken Brut,12CL,12.00,EUR
Pommery Pop by Village Igloo,20CL,18.00,EUR
Vranken Diamant Brut,75CL,85.00,EUR
Pommery Blue Sky,75CL,95.00,EUR
Vranken Diamant Blanc de Blanc Millésimé,75CL,120.00,EUR
Alcool + Soda,16CL,10.00,EUR
Jäger Bomb,5CL,10.00,EUR
Ricard,4CL,5.00,EUR
Get 27/31,5CL,6.50,EUR
Amaretto,5CL,9.00,EUR
Baileys,5CL,6.50,EUR
Chartreuse,5CL,10.00,EUR
Suze Tonic,25CL,6.00,EUR
Orgasme,4CL,5.00,EUR
Kiss Cool,4CL,5.00,EUR
Limoncello,4CL,5.00,EUR
Shooter du Moment,4CL,5.00,EUR
Poire,4CL,5.00,EUR
Génépi,4CL,5.00,EUR
Flugel Vodka,2CL,5.00,EUR
Fireball,5CL,6.00,EUR
Jägermaster,2CL,5.00,EUR
Mix 10 shooters,40CL,45.00,EUR
Viognier,12CL,6.50,EUR
Viognier,75CL,36.00,EUR
Roussette de Savoie Gastronomie Perrier AOC,12CL,7.00,EUR
Roussette de Savoie Gastronomie Perrier AOC,75CL,39.00,EUR
Gewurztraminer Cave Turckheim AOP,12CL,7.00,EUR
Gewurztraminer Cave Turckheim AOP,75CL,39.00,EUR
Moment de Plaisir,12CL,6.00,EUR
Moment de Plaisir,75CL,34.00,EUR
Moment de Plaisir,150CL,65.00,EUR
Moment de Plaisir,300CL,125.00,EUR
Domaine de Bendel Côte de Provence,12CL,7.00,EUR
Domaine de Bendel Côte de Provence,75CL,39.00,EUR
Domaine de Bendel Côte de Provence,150CL,75.00,EUR
Domaine de Bendel Côte de Provence,300CL,155.00,EUR
Havana Mojito,16CL,12.00,EUR
Jameson Ginger Lime,16CL,12.00,EUR
Absolut Moscow Mule,16CL,12.00,EUR
Alpine Mule,16CL,12.00,EUR
Long Island Ice Tea,16CL,12.00,EUR
Mojito Royal,16CL,14.00,EUR
Blue Igloo,16CL,12.00,EUR
Gin Fizz,16CL,12.00,EUR
Orange Spritz,16CL,12.00,EUR
Limoncello Spritz,16CL,12.00,EUR
Sureau Spritz,16CL,12.00,EUR
Beefeater,16CL,10.00,EUR
Brockmans,16CL,14.00,EUR
Vin Chaud Blanc,20CL,6.00,EUR
Chocolat + Alcool,20CL,9.00,EUR
Choco-Chartreuse,20CL,12.00,EUR
Irish Coffee,16CL,10.00,EUR
Monster Energy,50CL,9.00,EUR
