name,size,price,currency
Redbull,25cl,7.00,EUR
Redbull,35cl,9.00,EUR
2 cl,2cl,5.00,EUR
Tequila PAF,2cl,6.00,EUR
Flugel,,4.00,EUR
Verre alcool 4 cl + soft,4cl,10.00,EUR
Coupe Champagne,12cl,10.00,EUR
Jager Bomb,2cl,7.00,EUR
Skittle Bomb,2cl,7.00,EUR
Fire Bomb,2cl,7.00,EUR
Yaute Bomb,2cl,7.00,EUR
Carlsberg,33cl,9.00,EUR
Despe,33cl,9.00,EUR
Brooklyn Ipa,33cl,9.00,EUR
Smirnoff,70cl,110.00,EUR
Ciroc aromatisé,70cl,130.00,EUR
Belvédère,70cl,140.00,EUR
Magnum Belvédère,"1,75L",290.00,EUR
Jeroboam Belvédère,3L,490.00,EUR
Captain,70cl,110.00,EUR
Havana 7 años,70cl,130.00,EUR
Kraken,70cl,140.00,EUR
Zacapa,70cl,160.00,EUR
Get 27,70cl,110.00,EUR
Jagermeister,70cl,120.00,EUR
Tanqueray,70cl,110.00,EUR
Bombay Sapphir,70cl,130.00,EUR
Hendrick's,70cl,140.00,EUR
G'vine floraison,70cl,160.00,EUR
Magnum Hendrick's,"1,75L",290.00,EUR
JB,70cl,110.00,EUR
Jameson,70cl,110.00,EUR
Jack Daniel's,70cl,120.00,EUR
Chivas,70cl,130.00,EUR
Cuervo,70cl,110.00,EUR
Don Julio,70cl,150.00,EUR
Clase Azul Reposado,70cl,290.00,EUR
Moët,70cl,100.00,EUR
Veuve Clicquot,70cl,110.00,EUR
Moët rosé,70cl,120.00,EUR
Dom Perrignon,70cl,290.00,EUR
Magnum Moet,"1,75L",220.00,EUR
