name,size,price,currency
TEQUILA PAF,,5.00,EUR
TEQUILA PAF,MÈTRE/10SHOTS,45.00,EUR
VODKA CARAMEL,,4.00,EUR
VODKA CARAMEL,MÈTRE/10SHOTS,40.00,EUR
CUCARACHA,,5.00,EUR
CUCARACHA,MÈTRE/10SHOTS,45.00,EUR
MELOCOTON,,4.00,EUR
MELOCOTON,MÈTRE/10SHOTS,40.00,EUR
VODKA GET,,5.00,EUR
VODKA GET,MÈTRE/10SHOTS,45.00,EUR
TGV,,5.00,EUR
TGV,MÈTRE/10SHOTS,45.00,EUR
BABY GUINNESS,,5.00,EUR
BABY GUINNESS,MÈTRE/10SHOTS,45.00,EUR
BLACKRUSSIAN,,5.00,EUR
BLACKRUSSIAN,MÈTRE/10SHOTS,45.00,EUR
SWEET SPACE,"3,5CL",5.00,EUR
SWEET SPACE,MÈTRE/10SHOTS,45.00,EUR
RUSSIAN STYLE,"3,5CL",5.00,EUR
RUSSIAN STYLE,MÈTRE/10SHOTS,45.00,EUR
SNAKE BITE,"3,5CL",5.00,EUR
SNAKE BITE,MÈTRE/10SHOTS,45.00,EUR
BLUE POISON,"3,5CL",5.00,EUR
BLUE POISON,MÈTRE/10SHOTS,45.00,EUR
COCO SHOW,"3,5CL",5.00,EUR
COCO SHOW,MÈTRE/10SHOTS,45.00,EUR
IRISH FLAG,"3,5CL",5.00,EUR
IRISH FLAG,MÈTRE/10SHOTS,45.00,EUR
RASPBERRY SPACE,"3,5CL",5.00,EUR
RASPBERRY SPACE,MÈTRE/10SHOTS,45.00,EUR
KALASHNIKOV,"3,5CL",5.00,EUR
KALASHNIKOV,MÈTRE/10SHOTS,45.00,EUR
CRAZY MONKEY,"3,5CL",5.00,EUR
CRAZY MONKEY,MÈTRE/10SHOTS,45.00,EUR
ALABAMA SUMMER,"3,5CL",5.00,EUR
ALABAMA SUMMER,MÈTRE/10SHOTS,45.00,EUR
RED DEAD,"3,5CL",5.00,EUR
RED DEAD,MÈTRE/10SHOTS,45.00,EUR
T.K.O,"3,5CL",5.00,EUR
T.K.O,MÈTRE/10SHOTS,45.00,EUR
KISS COOL,"3,5CL",5.00,EUR
KISS COOL,MÈTRE/10SHOTS,45.00,EUR
RHUM ARRANGÉ DU MOMENT,"2,5CL",5.00,EUR
RHUM ARRANGÉ DU MOMENT,MÈTRE/10SHOTS,45.00,EUR
DAIQUIRI,,10.00,EUR
APEROL SPRITZ,,10.00,EUR
MARGARITA,,10.00,EUR
GIN FIZZ,,10.00,EUR
TI PUNCH,,10.00,EUR
ESPRESSO MARTINI,,10.00,EUR
CAÏPIRINHA / CAÏPIROSKA,,10.00,EUR
MOJITO,,10.00,EUR
MOSCOW MULE,,10.00,EUR
MAI TAI,,10.00,EUR
SAINT GERMAIN SPRITZ,,10.00,EUR
SEX ON THE BEACH,,10.00,EUR
BLOODY MARY,,10.00,EUR
COSMOPOLITAN,,10.00,EUR
PORN STAR,,10.00,EUR
BASILIC SMASH,,10.00,EUR
JULEP SIXTEEN,,12.00,EUR
DARK AND STORMY,,12.00,EUR
YESS PAPY FIZZ,,12.00,EUR
LADY'S SPRITZ,,12.00,EUR
POMM D'AVO,,12.00,EUR
BLACK MINT,,12.00,EUR
BLUE PROSECCO,,12.00,EUR
SECRET,,12.00,EUR
VANILLA SOUR,,12.00,EUR
BASIL BERRY,,12.00,EUR
PURPLE DREAM,,12.00,EUR
GREEN LIME,,12.00,EUR
RED SKY,,12.00,EUR
HOOCHIE COOCHIE,,12.00,EUR
COCA COLA,25CL,3.50,EUR
COCA COLA,50CL,6.00,EUR
COCA ZÉRO,25CL,3.50,EUR
COCA ZÉRO,50CL,6.00,EUR
SPRITE,25CL,3.50,EUR
SPRITE,50CL,6.00,EUR
FANTA,25CL,3.50,EUR
FANTA,50CL,6.00,EUR
TONIC FINLEY,25CL,3.50,EUR
TONIC FINLEY,50CL,6.00,EUR
DIABOLO,25CL,3.50,EUR
DIABOLO,50CL,6.00,EUR
SIROP,25CL,2.00,EUR
SIROP,50CL,3.50,EUR
REDBULL,50CL,5.00,EUR
EVIAN,50CL,4.00,EUR
BADOIT,50CL,4.00,EUR
JUS DE FRUITS,50CL,3.50,EUR
CHOCOLAT AROMATISÉ,50CL,5.00,EUR
CAPPUCCINO AROMATISÉ,50CL,5.00,EUR
CAFÉ VIENNOIS AROMATISÉ,50CL,5.00,EUR
CAFÉ,50CL,2.00,EUR
