name,size,price,currency
Mojito BACARDI Carta Oro,4cl,13.00,EUR
Mojito avec purée de fruits Mangue,4cl,13.00,EUR
Mojito avec purée de fruits Passion,4cl,13.00,EUR
Mojito avec purée de fruits Fraise,4cl,13.00,EUR
Mojito avec purée de fruits Framboise,4cl,13.00,EUR
CAÏPIRINHA,4cl,10.00,EUR
PAPA BASTARDO,4cl,12.00,EUR
PINA COLADA,4cl,12.00,EUR
LYNCHBURG LEMONADE,4cl,13.00,EUR
GENTLEMAN JACK SOUR,4cl,13.00,EUR
TEQUILA SUNRISE,4cl,11.00,EUR
MARGARITA,4cl,11.00,EUR
PALOMA,4cl,13.00,EUR
VIRGIN MOJITO,,8.00,EUR
VIRGIN PINA,,8.00,EUR
GIN SPICED,4cl,10.00,EUR
MARTINI BIANCO TONIC,,8.00,EUR
APEROL SPRITZ,,9.00,EUR
ST-GERMAIN SPRITZ,,9.00,EUR
LIMONCELLO SPRITZ,,9.00,EUR
MOSCOW MULE,4cl,12.00,EUR
LONDON MULE,4cl,12.00,EUR
MEXICAN MULE,4cl,12.00,EUR
JACK APPLE MULE,4cl,13.00,EUR
SEX ON THE MOUNTAIN,4cl,12.00,EUR
ESPRESSO MARTINI,4cl,13.00,EUR
BLUE LAGOON,4cl,12.00,EUR
LONG ISLAND,4cl,16.00,EUR
BLOODY MARY,4cl,13.00,EUR
PORNSTAR MARTINI,4cl,13.00,EUR
TUBORG,25cl,4.50,EUR
TUBORG,50cl,7.80,EUR
HOP HOUSE,25cl,4.50,EUR
HOP HOUSE,50cl,8.80,EUR
IPA BROOKLYN DEFENDER,25cl,4.80,EUR
IPA BROOKLYN DEFENDER,50cl,9.00,EUR
GUINNESS,50cl,9.00,EUR
IPA BROOKLYN PULP'ART,25cl,4.80,EUR
IPA BROOKLYN PULP'ART,50cl,9.00,EUR
CIDER MAGNERS ORIGINAL,25cl,4.50,EUR
CIDER MAGNERS ORIGINAL,50cl,8.80,EUR
ANOSTEKE,25cl,4.80,EUR
ANOSTEKE,50cl,8.80,EUR
GRIMBERGEN BLONDE,25cl,4.50,EUR
GRIMBERGEN BLONDE,50cl,8.80,EUR
1664 BLANCHE,25cl,4.50,EUR
1664 BLANCHE,50cl,8.80,EUR
LA BÊTE ROUGE,25cl,4.80,EUR
LA BÊTE ROUGE,50cl,9.00,EUR
DUCASSE,25cl,4.80,EUR
DUCASSE,50cl,9.00,EUR
LA BÊTE DES VOSGES,25cl,4.80,EUR
LA BÊTE DES VOSGES,50cl,9.00,EUR
CARLSBERG ELEPHANT,25cl,4.00,EUR
CARLSBERG ELEPHANT,50cl,7.80,EUR
AOC Mâcon villages (Alphonse skie) Rouge,12.5cl,7.50,EUR
AOC Mâcon villages (Alphonse skie) Rouge,75cl,33.00,EUR
Voisin d'en face (Syrah),12.5cl,7.00,EUR
Voisin d'en face (Syrah),75cl,32.00,EUR
AOP Côtes du Rhône (Domaine Aubert),12.5cl,6.00,EUR
AOP Côtes du Rhône (Domaine Aubert),75cl,28.00,EUR
AOP Bourgogne (chardon vieille vigne),12.5cl,8.00,EUR
AOP Bourgogne (chardon vieille vigne),75cl,45.00,EUR
AOC Côtes de Provence (Carte noire),12.5cl,6.00,EUR
AOC Côtes de Provence (Carte noire),75cl,29.00,EUR
AOC Côtes de Provence (Whispering Angel),12.5cl,8.00,EUR
AOC Côtes de Provence (Whispering Angel),75cl,45.00,EUR
AOC Mâcon villages (Alphonse skie) Blanc,12.5cl,7.50,EUR
AOC Mâcon villages (Alphonse skie) Blanc,75cl,35.00,EUR
AOC Apremont (Entre lac et sommets),12.5cl,6.00,EUR
AOC Apremont (Entre lac et sommets),75cl,29.00,EUR
Coca,33cl,4.00,EUR
Coca zéro,33cl,4.00,EUR
Orangina,33cl,4.00,EUR
Schweppes tonic,33cl,4.00,EUR
Perrier,33cl,4.00,EUR
Fuze Tea,33cl,4.00,EUR
Sprite,33cl,4.00,EUR
Red Bull,,5.00,EUR
Pago Orange,20cl,4.20,EUR
Pago Ananas,20cl,4.20,EUR
Pago Pomme,20cl,4.20,EUR
Pago Abricot,20cl,4.20,EUR
Pago ACE,20cl,4.20,EUR
Pago tomate,20cl,4.20,EUR
Sirop Menthe,,3.00,EUR
Sirop Fraise,,3.00,EUR
Sirop Grenadine,,3.00,EUR
Sirop Pêche,,3.00,EUR
Sirop Citron,,3.00,EUR
Sirop Cassis,,3.00,EUR
Sirop Orgeat,,3.00,EUR
Sirop Kiwi,,3.00,EUR
Sirop Caramel,,3.00,EUR
Café Expresso,,2.20,EUR
Café noisette,,2.20,EUR
Grand double,,4.00,EUR
Café Grand crème,,4.50,EUR
Cappuccino,,4.50,EUR
Chocolat Chaud,,4.50,EUR
Chocolat Viennois,,5.00,EUR
Café Viennois,,5.00,EUR
Thé Vert,,4.00,EUR
Thé Citron,,4.00,EUR
Thé Ceylan,,4.00,EUR
Thé Menthe,,4.00,EUR
Verveine,,4.00,EUR
Irish Coffee,,10.00,EUR
Vin chaud maison,,5.50,EUR
Jamaican Coffee,,10.00,EUR
Grog,,8.00,EUR
